99 50
-5.0000000e-01 0.0000000e+00 0.0000000e+00
-5.3287350e-01 -8.4966048e-18 0.0000000e+00
-5.6574699e-01 -1.6993210e-17 0.0000000e+00
-6.0231280e-01 -1.9258971e-17 0.0000000e+00
-6.4189959e-01 -1.6426769e-17 0.0000000e+00
-6.8248096e-01 -1.3948593e-17 0.0000000e+00
-7.3201351e-01 -1.4656643e-17 0.0000000e+00
-7.8154606e-01 -1.5364694e-17 0.0000000e+00
-8.3714792e-01 -1.6072744e-17 0.0000000e+00
-8.9601786e-01 -1.6780794e-17 0.0000000e+00
-9.5732991e-01 -1.7488845e-17 0.0000000e+00
-1.0284104e+00 -1.8196895e-17 0.0000000e+00
-1.0994909e+00 -1.8904946e-17 0.0000000e+00
-1.1807474e+00 -1.8019883e-17 0.0000000e+00
-1.2653959e+00 -1.6603782e-17 0.0000000e+00
-1.3553027e+00 -1.4338021e-17 0.0000000e+00
-1.4574788e+00 -1.0089718e-17 0.0000000e+00
-1.5596550e+00 -5.8414158e-18 0.0000000e+00
-1.6791130e+00 5.1333654e-19 0.0000000e+00
-1.8016206e+00 7.2398153e-18 0.0000000e+00
-1.9341238e+00 3.3508485e-17 0.0000000e+00
-2.0816200e+00 8.9090441e-17 0.0000000e+00
-2.2291163e+00 1.4467240e-16 0.0000000e+00
-2.4049841e+00 1.4139766e-16 0.0000000e+00
-2.5823452e+00 1.3502521e-16 0.0000000e+00
-2.7775908e+00 1.2316537e-16 0.0000000e+00
-2.9907210e+00 1.0581813e-16 0.0000000e+00
-3.2060086e+00 8.9081591e-17 0.0000000e+00
-3.4622860e+00 8.3948225e-17 0.0000000e+00
-3.7185634e+00 7.8814860e-17 0.0000000e+00
-4.0058210e+00 7.8832561e-17 0.0000000e+00
-4.3137321e+00 8.2284307e-17 0.0000000e+00
-4.6309259e+00 8.3518970e-17 0.0000000e+00
-5.0007217e+00 7.2190163e-17 0.0000000e+00
-5.3705176e+00 6.0861357e-17 0.0000000e+00
-5.7923582e+00 5.0833593e-17 0.0000000e+00
-6.2365038e+00 4.1363419e-17 0.0000000e+00
-6.7029348e+00 3.4659067e-17 0.0000000e+00
-7.2362221e+00 3.6252180e-17 0.0000000e+00
-7.7695093e+00 3.7845294e-17 0.0000000e+00
-8.3883375e+00 3.6322985e-17 0.0000000e+00
-9.0285508e+00 3.4021822e-17 0.0000000e+00
-9.7137193e+00 3.2572531e-17 0.0000000e+00
-1.0482376e+01 3.2705290e-17 0.0000000e+00
-1.1251033e+01 3.2838050e-17 0.0000000e+00
-1.2158342e+01 5.8739419e-17 0.0000000e+00
-1.3081057e+01 8.7503966e-17 0.0000000e+00
-1.4086992e+01 1.9958834e-16 0.0000000e+00
-1.5194640e+01 4.1350807e-16 0.0000000e+00
-1.6302288e+01 6.2742780e-16 0.0000000e+00
-4.9897270e-01 3.2035110e-02 0.0000000e+00
-5.3166898e-01 3.4132917e-02 0.0000000e+00
-5.6436526e-01 3.6230725e-02 0.0000000e+00
-6.0073395e-01 3.8564155e-02 0.0000000e+00
-6.4010734e-01 4.1090369e-02 0.0000000e+00
-6.8046994e-01 4.3680051e-02 0.0000000e+00
-7.2973547e-01 4.6840948e-02 0.0000000e+00
-7.7900100e-01 5.0001845e-02 0.0000000e+00
-8.3430312e-01 5.3550053e-02 0.0000000e+00
-8.9285570e-01 5.7306812e-02 0.0000000e+00
-9.5383723e-01 6.1219413e-02 0.0000000e+00
-1.0245345e+00 6.5755381e-02 0.0000000e+00
-1.0952318e+00 7.0291350e-02 0.0000000e+00
-1.1760503e+00 7.5476697e-02 0.0000000e+00
-1.2602425e+00 8.0878504e-02 0.0000000e+00
-1.3496646e+00 8.6615866e-02 0.0000000e+00
-1.4512900e+00 9.3136192e-02 0.0000000e+00
-1.5529153e+00 9.9656517e-02 0.0000000e+00
-1.6717293e+00 1.0727967e-01 0.0000000e+00
-1.7935766e+00 1.1509745e-01 0.0000000e+00
-1.9253654e+00 1.2355307e-01 0.0000000e+00
-2.0720665e+00 1.3296548e-01 0.0000000e+00
-2.2187677e+00 1.4237789e-01 0.0000000e+00
-2.3936874e+00 1.5360082e-01 0.0000000e+00
-2.5700924e+00 1.6491903e-01 0.0000000e+00
-2.7642855e+00 1.7737854e-01 0.0000000e+00
-2.9762667e+00 1.9097935e-01 0.0000000e+00
-3.1903937e+00 2.0471783e-01 0.0000000e+00
-3.4452896e+00 2.2107206e-01 0.0000000e+00
-3.7001855e+00 2.3742629e-01 0.0000000e+00
-3.9858946e+00 2.5575750e-01 0.0000000e+00
-4.2921457e+00 2.7540671e-01 0.0000000e+00
-4.6076296e+00 2.9564829e-01 0.0000000e+00
-4.9754319e+00 3.1924664e-01 0.0000000e+00
-5.3432343e+00 3.4284500e-01 0.0000000e+00
-5.7628009e+00 3.6976457e-01 0.0000000e+00
-6.2045522e+00 3.9810752e-01 0.0000000e+00
-6.6684687e+00 4.2787261e-01 0.0000000e+00
-7.1988811e+00 4.6190409e-01 0.0000000e+00
-7.7292936e+00 4.9593558e-01 0.0000000e+00
-8.3447857e+00 5.3542582e-01 0.0000000e+00
-8.9815479e+00 5.7628075e-01 0.0000000e+00
-9.6630227e+00 6.2000447e-01 0.0000000e+00
-1.0427536e+01 6.6905594e-01 0.0000000e+00
-1.1192049e+01 7.1810742e-01 0.0000000e+00
-1.2094467e+01 7.7600695e-01 0.0000000e+00
-1.3012207e+01 8.3488959e-01 0.0000000e+00
-1.4012720e+01 8.9908288e-01 0.0000000e+00
-1.5114397e+01 9.6976696e-01 0.0000000e+00
-1.6216074e+01 1.0404510e+00 0.0000000e+00
-4.9589501e-01 6.3938581e-02 0.0000000e+00
-5.2841834e-01 6.8134469e-02 0.0000000e+00
-5.6094167e-01 7.2330358e-02 0.0000000e+00
-5.9711799e-01 7.6997524e-02 0.0000000e+00
-6.3628311e-01 8.2050280e-02 0.0000000e+00
-6.7643221e-01 8.7229982e-02 0.0000000e+00
-7.2543715e-01 9.3552190e-02 0.0000000e+00
-7.7444209e-01 9.9874397e-02 0.0000000e+00
-8.2945168e-01 1.0697128e-01 0.0000000e+00
-8.8769455e-01 1.1448528e-01 0.0000000e+00
-9.4835351e-01 1.2231100e-01 0.0000000e+00
-1.0186768e+00 1.3138353e-01 0.0000000e+00
-1.0890002e+00 1.4045606e-01 0.0000000e+00
-1.1693912e+00 1.5082743e-01 0.0000000e+00
-1.2531380e+00 1.6163174e-01 0.0000000e+00
-1.3420871e+00 1.7310722e-01 0.0000000e+00
-1.4431749e+00 1.8614872e-01 0.0000000e+00
-1.5442627e+00 1.9919022e-01 0.0000000e+00
-1.6624482e+00 2.1443753e-01 0.0000000e+00
-1.7836510e+00 2.3007410e-01 0.0000000e+00
-1.9147427e+00 2.4698645e-01 0.0000000e+00
-2.0606679e+00 2.6581250e-01 0.0000000e+00
-2.2065930e+00 2.8463854e-01 0.0000000e+00
-2.3805875e+00 3.0708586e-01 0.0000000e+00
-2.5560594e+00 3.2972377e-01 0.0000000e+00
-2.7492253e+00 3.5464442e-01 0.0000000e+00
-2.9600853e+00 3.8184781e-01 0.0000000e+00
-3.1730796e+00 4.0932657e-01 0.0000000e+00
-3.4266272e+00 4.4203716e-01 0.0000000e+00
-3.6801748e+00 4.7474775e-01 0.0000000e+00
-3.9643726e+00 5.1141257e-01 0.0000000e+00
-4.2690038e+00 5.5071355e-01 0.0000000e+00
-4.5828189e+00 5.9119935e-01 0.0000000e+00
-4.9486758e+00 6.3839914e-01 0.0000000e+00
-5.3145326e+00 6.8559893e-01 0.0000000e+00
-5.7318799e+00 7.3944159e-01 0.0000000e+00
-6.1712945e+00 7.9613119e-01 0.0000000e+00
-6.6327571e+00 8.5566525e-01 0.0000000e+00
-7.1603639e+00 9.2373266e-01 0.0000000e+00
-7.6879707e+00 9.9180008e-01 0.0000000e+00
-8.3002072e+00 1.0707857e+00 0.0000000e+00
-8.9336011e+00 1.1525009e+00 0.0000000e+00
-9.6114713e+00 1.2399541e+00 0.0000000e+00
-1.0371940e+01 1.3380634e+00 0.0000000e+00
-1.1132409e+01 1.4361728e+00 0.0000000e+00
-1.2030054e+01 1.5519794e+00 0.0000000e+00
-1.2942940e+01 1.6697523e+00 0.0000000e+00
-1.3938160e+01 1.7981473e+00 0.0000000e+00
-1.5034010e+01 1.9395247e+00 0.0000000e+00
-1.6129860e+01 2.0809021e+00 0.0000000e+00
-4.9077958e-01 9.5579314e-02 0.0000000e+00
-5.2298523e-01 1.0184897e-01 0.0000000e+00
-5.5519088e-01 1.0811863e-01 0.0000000e+00
-5.9101383e-01 1.1509249e-01 0.0000000e+00
-6.2979639e-01 1.2264251e-01 0.0000000e+00
-6.6955332e-01 1.3038222e-01 0.0000000e+00
-7.1807959e-01 1.3982910e-01 0.0000000e+00
-7.6660585e-01 1.4927599e-01 0.0000000e+00
-8.2107812e-01 1.5988041e-01 0.0000000e+00
-8.7875208e-01 1.7110813e-01 0.0000000e+00
-9.3881854e-01 1.8280161e-01 0.0000000e+00
-1.0084550e+00 1.9635813e-01 0.0000000e+00
-1.0780914e+00 2.0991465e-01 0.0000000e+00
-1.1576971e+00 2.2541195e-01 0.0000000e+00
-1.2406260e+00 2.4155618e-01 0.0000000e+00
-1.3287062e+00 2.5870327e-01 0.0000000e+00
-1.4288066e+00 2.7819038e-01 0.0000000e+00
-1.5289070e+00 2.9767749e-01 0.0000000e+00
-1.6459381e+00 3.2046060e-01 0.0000000e+00
-1.7659570e+00 3.4382536e-01 0.0000000e+00
-1.8957682e+00 3.6909645e-01 0.0000000e+00
-2.0402680e+00 3.9722704e-01 0.0000000e+00
-2.1847678e+00 4.2535764e-01 0.0000000e+00
-2.3570627e+00 4.5889928e-01 0.0000000e+00
-2.5308206e+00 4.9272571e-01 0.0000000e+00
-2.7220997e+00 5.2996310e-01 0.0000000e+00
-2.9309000e+00 5.7061145e-01 0.0000000e+00
-3.1418139e+00 6.1167125e-01 0.0000000e+00
-3.3928849e+00 6.6054867e-01 0.0000000e+00
-3.6439558e+00 7.0942609e-01 0.0000000e+00
-3.9253776e+00 7.6421207e-01 0.0000000e+00
-4.2270333e+00 8.2293709e-01 0.0000000e+00
-4.5377831e+00 8.8343252e-01 0.0000000e+00
-4.9000663e+00 9.5396025e-01 0.0000000e+00
-5.2623495e+00 1.0244880e+00 0.0000000e+00
-5.6756202e+00 1.1049417e+00 0.0000000e+00
-6.1107427e+00 1.1896495e+00 0.0000000e+00
-6.5676978e+00 1.2786076e+00 0.0000000e+00
-7.0901510e+00 1.3803165e+00 0.0000000e+00
-7.6126042e+00 1.4820255e+00 0.0000000e+00
-8.2188605e+00 1.6000488e+00 0.0000000e+00
-8.8460675e+00 1.7221508e+00 0.0000000e+00
-9.5173163e+00 1.8528266e+00 0.0000000e+00
-1.0270357e+01 1.9994254e+00 0.0000000e+00
-1.1023398e+01 2.1460241e+00 0.0000000e+00
-1.1912275e+01 2.3190668e+00 0.0000000e+00
-1.2816244e+01 2.4950477e+00 0.0000000e+00
-1.3801743e+01 2.6869003e+00 0.0000000e+00
-1.4886889e+01 2.8981518e+00 0.0000000e+00
-1.5972034e+01 3.1094033e+00 0.0000000e+00
-4.8364743e-01 1.2682729e-01 0.0000000e+00
-5.1533476e-01 1.3513735e-01 0.0000000e+00
-5.4702208e-01 1.4344741e-01 0.0000000e+00
-5.8226849e-01 1.5269085e-01 0.0000000e+00
-6.2042688e-01 1.6269796e-01 0.0000000e+00
-6.5954395e-01 1.7295649e-01 0.0000000e+00
-7.0728922e-01 1.8547778e-01 0.0000000e+00
-7.5503450e-01 1.9799907e-01 0.0000000e+00
-8.0863007e-01 2.1205461e-01 0.0000000e+00
-8.6537582e-01 2.2693629e-01 0.0000000e+00
-9.2447555e-01 2.4243531e-01 0.0000000e+00
-9.9299124e-01 2.6040368e-01 0.0000000e+00
-1.0615069e+00 2.7837205e-01 0.0000000e+00
-1.1398315e+00 2.9891281e-01 0.0000000e+00
-1.2214256e+00 3.2031103e-01 0.0000000e+00
-1.3080883e+00 3.4303849e-01 0.0000000e+00
-1.4065777e+00 3.6886751e-01 0.0000000e+00
-1.5050670e+00 3.9469652e-01 0.0000000e+00
-1.6202146e+00 4.2489420e-01 0.0000000e+00
-1.7383018e+00 4.5586280e-01 0.0000000e+00
-1.8660239e+00 4.8935815e-01 0.0000000e+00
-2.0081980e+00 5.2664360e-01 0.0000000e+00
-2.1503722e+00 5.6392905e-01 0.0000000e+00
-2.3198942e+00 6.0838651e-01 0.0000000e+00
-2.4908556e+00 6.5322146e-01 0.0000000e+00
-2.6790562e+00 7.0257743e-01 0.0000000e+00
-2.8844960e+00 7.5645442e-01 0.0000000e+00
-3.0920154e+00 8.1087677e-01 0.0000000e+00
-3.3390456e+00 8.7566091e-01 0.0000000e+00
-3.5860758e+00 9.4044505e-01 0.0000000e+00
-3.8629683e+00 1.0130606e+00 0.0000000e+00
-4.1597690e+00 1.0908972e+00 0.0000000e+00
-4.4655175e+00 1.1710803e+00 0.0000000e+00
-4.8219701e+00 1.2645607e+00 0.0000000e+00
-5.1784226e+00 1.3580410e+00 0.0000000e+00
-5.5850420e+00 1.4646778e+00 0.0000000e+00
-6.0131615e+00 1.5769529e+00 0.0000000e+00
-6.4627623e+00 1.6948616e+00 0.0000000e+00
-6.9768071e+00 1.8296708e+00 0.0000000e+00
-7.4908518e+00 1.9644800e+00 0.0000000e+00
-8.0873508e+00 2.1209130e+00 0.0000000e+00
-8.7044634e+00 2.2827520e+00 0.0000000e+00
-9.3649091e+00 2.4559551e+00 0.0000000e+00
-1.0105830e+01 2.6502631e+00 0.0000000e+00
